Designator,Mid X,Mid Y,Rotation,Layer
R5,60.7,-106.7,0.0,top
R50,96.450001,-119.325,90.0,bottom
R51,94.200001,-118.8,0.0,top
R53,101.35,-105.0,270.0,bottom
R54,94.025,-103.750001,0.0,top
R55,91.2,-118.8,180.0,top
R57,88.200001,-114.75,0.0,top
R58,91.200001,-115.5,0.0,top
R6,60.7,-108.2,0.0,top
R60,101.025,-118.5,180.0,top
R61,94.950001,-116.25,270.0,top
R66,60.1,-52.225,90.0,top
R68,57.025,-67.4,0.0,top
R69,59.3,-69.025,270.0,top
R7,66.775,-92.5,0.0,top
R70,61.6,-84.725,270.0,top
R71,51.9,-84.725,270.0,top
R72,55.4375,-100.25375,90.0,bottom
R73,53.8375,-100.25375,270.0,bottom
R74,57.0375,-100.25375,270.0,bottom
R75,104.25,-74.675,270.0,bottom
R76,103.999999,-94.585001,270.0,bottom
R77,84.325,-104.249999,0.0,bottom
R78,99.85,-105.0,270.0,bottom
R8,66.775,-91.0,0.0,top
R9,103.75,-83.925,90.0,top
T1,112.15,-77.45,270.0,top
T2,111.9,-97.36,270.0,top
T3,81.550001,-112.35,180.0,top
T4,100.500001,-112.15,180.0,top
U1,61.925,-101.275,90.0,top
U2,81.875,-86.7,0.0,top
U3,121.365,-86.025,180.0,bottom
U4,121.115,-105.935,180.0,bottom
U5,72.975001,-121.365,270.0,bottom
U6,91.925001,-121.365,270.0,bottom
V_ADJ1,117.2,-62.5,270.0,top
V_ADJ2,103.1,-56.9,270.0,top
V_ADJ3,94.1,-56.875,270.0,top
V_ADJ4,85.1,-56.875,270.0,top
Y1,73.55,-98.625,0.0,top
